date,time,realp,reactivep,voltage,gt,sm1,sm2,sm3,realpkwh,reactivepkwh,sm1kwh,sm2kwh,sm3kwh,prediction
16/12/2006,17:56:00,4.342,0.09,233.77,18.4,0,0,16,0.0724,0.0015,0,0,0.016,0.0626
16/12/2006,17:57:00,4.512,0,233.62,19.2,0,0,17,0.0752,0,0,0,0.017,0.0626
16/12/2006,17:58:00,4.058,0.2,234.68,17.6,0,0,17,0.0676,0.0033,0,0,0.017,0.0676
16/12/2006,17:59:00,2.472,0.058,236.94,10.4,0,0,17,0.0412,0.001,0,0,0.017,0.0412
16/12/2006,18:00:00,2.79,0.18,237.52,11.8,0,0,18,0.0465,0.003,0,0,0.018,0.0465
16/12/2006,18:01:00,2.624,0.144,238.2,11,0,0,17,0.0437,0.0024,0,0,0.017,0.0437
16/12/2006,18:02:00,2.772,0.118,238.28,11.6,0,0,17,0.0462,0.002,0,0,0.017,0.0462
16/12/2006,18:03:00,3.74,0.108,236.93,16.4,0,16,18,0.0623,0.0018,0,0.016,0.018,0.0623
16/12/2006,18:04:00,4.928,0.202,235.01,21,0,37,16,0.0821,0.0034,0,0.037,0.016,0.0821
16/12/2006,18:05:00,6.052,0.192,232.93,26.2,0,37,17,0.1009,0.0032,0,0.037,0.017,0.1009
16/12/2006,18:06:00,6.752,0.186,232.12,29,0,36,17,0.1125,0.0031,0,0.036,0.017,0.1009
16/12/2006,18:07:00,6.474,0.144,231.85,27.8,0,37,16,0.1079,0.0024,0,0.037,0.016,0.1079
16/12/2006,18:08:00,6.308,0.116,232.25,27,0,36,17,0.1051,0.0019,0,0.036,0.017,0.1051
16/12/2006,18:09:00,4.464,0.136,234.66,19,0,37,16,0.0744,0.0023,0,0.037,0.016,0.0744
16/12/2006,18:10:00,3.396,0.148,236.2,15,0,22,18,0.0566,0.0025,0,0.022,0.018,0.0744
16/12/2006,18:11:00,3.09,0.152,237.07,13.8,0,12,17,0.0515,0.0025,0,0.012,0.017,0.0744
16/12/2006,18:12:00,3.73,0.144,235.78,16.4,0,27,17,0.0622,0.0024,0,0.027,0.017,0.0622
16/12/2006,18:13:00,2.308,0.16,237.43,9.6,0,1,17,0.0385,0.0027,0,0.001,0.017,0.0385
16/12/2006,18:14:00,2.388,0.158,237.26,10,0,1,17,0.0398,0.0026,0,0.001,0.017,0.0398
16/12/2006,18:15:00,4.598,0.1,234.25,21.4,0,20,17,0.0766,0.0017,0,0.02,0.017,0.0766
16/12/2006,18:16:00,4.524,0.076,234.2,19.6,0,9,17,0.0754,0.0013,0,0.009,0.017,0.0754
16/12/2006,18:17:00,4.202,0.082,234.31,17.8,0,1,17,0.07,0.0014,0,0.001,0.017,0.07
16/12/2006,18:18:00,4.472,0,233.29,19.2,0,1,16,0.0745,0,0,0.001,0.016,0.0745
16/12/2006,18:19:00,2.852,0,235.61,12,0,1,17,0.0475,0,0,0.001,0.017,0.0475
16/12/2006,18:20:00,2.928,0,235.25,12.4,0,1,17,0.0488,0,0,0.001,0.017,0.0488
16/12/2006,18:21:00,2.94,0,236.04,12.4,0,2,17,0.049,0,0,0.002,0.017,0.049
16/12/2006,18:22:00,2.934,0,235.51,12.4,0,1,17,0.0489,0,0,0.001,0.017,0.0489
16/12/2006,18:23:00,2.926,0,235.68,12.4,0,1,17,0.0488,0,0,0.001,0.017,0.0488
16/12/2006,18:24:00,3.452,0,235.2,15.2,0,1,17,0.0575,0,0,0.001,0.017,0.0575
16/12/2006,18:25:00,4.87,0,233.74,20.8,0,1,17,0.0812,0,0,0.001,0.017,0.0575
16/12/2006,18:26:00,4.868,0,233.84,20.8,0,1,17,0.0811,0,0,0.001,0.017,0.0575
16/12/2006,18:27:00,4.866,0,233.79,20.8,0,1,17,0.0811,0,0,0.001,0.017,0.0575
16/12/2006,18:28:00,3.176,0,235.5,13.8,0,1,17,0.0529,0,0,0.001,0.017,0.0575
16/12/2006,18:29:00,2.92,0,235.84,12.4,0,1,17,0.0487,0,0,0.001,0.017,0.0575
16/12/2006,18:30:00,2.93,0,236.15,12.4,0,1,17,0.0488,0,0,0.001,0.017,0.0575
16/12/2006,18:31:00,2.912,0.05,235.81,12.4,0,1,17,0.0485,0.0008,0,0.001,0.017,0.0485
16/12/2006,18:32:00,2.608,0.052,235.41,11,0,1,17,0.0435,0.0009,0,0.001,0.017,0.0435
16/12/2006,18:33:00,2.714,0.162,234.82,11.6,0,0,17,0.0452,0.0027,0,0,0.017,0.0452
16/12/2006,18:34:00,3.538,0.086,233.76,15.6,0,1,16,0.059,0.0014,0,0.001,0.016,0.059
16/12/2006,18:35:00,6.072,0,232.48,26.4,0,27,17,0.1012,0,0,0.027,0.017,0.1012
16/12/2006,18:36:00,4.536,0,233.54,19.4,0,1,17,0.0756,0,0,0.001,0.017,0.0756
16/12/2006,18:37:00,4.408,0,232.32,18.8,0,1,16,0.0735,0,0,0.001,0.016,0.0735
16/12/2006,18:38:00,2.912,0.048,234.02,13,0,1,17,0.0485,0.0008,0,0.001,0.017,0.0485
16/12/2006,18:39:00,2.326,0.054,234.76,9.8,0,1,17,0.0388,0.0009,0,0.001,0.017,0.0388
16/12/2006,18:40:00,2.264,0.054,234.67,9.6,0,1,17,0.0377,0.0009,0,0.001,0.017,0.0388
16/12/2006,18:41:00,2.27,0.054,235.27,9.6,0,1,17,0.0378,0.0009,0,0.001,0.017,0.0388
16/12/2006,18:42:00,2.258,0.054,235.12,9.6,0,1,17,0.0376,0.0009,0,0.001,0.017,0.0388
16/12/2006,18:43:00,2.188,0.068,235.8,9.2,0,1,17,0.0365,0.0011,0,0.001,0.017,0.0388
16/12/2006,18:44:00,2.978,0.166,234.81,13.2,0,1,17,0.0496,0.0028,0,0.001,0.017,0.0388
16/12/2006,18:45:00,4.2,0.174,234.38,17.8,0,1,17,0.07,0.0029,0,0.001,0.017,0.0388
16/12/2006,18:46:00,4.204,0.186,234.2,17.8,0,1,16,0.0701,0.0031,0,0.001,0.016,0.0701
16/12/2006,18:47:00,4.218,0.178,233.98,18,0,1,17,0.0703,0.003,0,0.001,0.017,0.0703
16/12/2006,18:48:00,2.786,0.188,234.99,12,0,2,17,0.0464,0.0031,0,0.002,0.017,0.0464
16/12/2006,18:49:00,2.54,0.088,234.67,10.8,0,4,17,0.0423,0.0015,0,0.004,0.017,0.0423
16/12/2006,18:50:00,2.496,0.08,233.92,10.6,0,3,17,0.0416,0.0013,0,0.003,0.017,0.0416
16/12/2006,18:51:00,2.336,0.07,233.51,10,0,1,16,0.0389,0.0012,0,0.001,0.016,0.0389
16/12/2006,18:52:00,2.322,0,233.44,9.8,0,0,17,0.0387,0,0,0,0.017,0.0387
16/12/2006,18:53:00,2.448,0,233.64,10.6,0,1,17,0.0408,0,0,0.001,0.017,0.0408
16/12/2006,18:54:00,4.298,0,232.39,18.4,0,1,16,0.0716,0,0,0.001,0.016,0.0716
16/12/2006,18:55:00,4.23,0.09,232.25,18.2,0,1,17,0.0705,0.0015,0,0.001,0.017,0.0705
16/12/2006,18:56:00,4.23,0.09,232.32,18.2,0,2,16,0.0705,0.0015,0,0.002,0.016,0.0705
16/12/2006,18:57:00,3.924,0.084,232.79,17,0,1,17,0.0654,0.0014,0,0.001,0.017,0.0654
16/12/2006,18:58:00,4.218,0.09,232.09,18,0,1,17,0.0703,0.0015,0,0.001,0.017,0.0703
16/12/2006,18:59:00,4.224,0.09,231.96,18.2,0,1,16,0.0704,0.0015,0,0.001,0.016,0.0704
16/12/2006,19:00:00,4.07,0.088,231.99,17.4,0,1,17,0.0678,0.0015,0,0.001,0.017,0.0678
16/12/2006,19:01:00,3.612,0.09,232.36,15.6,0,2,16,0.0602,0.0015,0,0.002,0.016,0.0602
16/12/2006,19:02:00,3.458,0.09,232.71,14.8,0,1,17,0.0576,0.0015,0,0.001,0.017,0.0576
16/12/2006,19:03:00,3.434,0.09,232.01,14.8,0,1,16,0.0572,0.0015,0,0.001,0.016,0.0572
16/12/2006,19:04:00,3.366,0,232.78,14.4,0,1,17,0.0561,0,0,0.001,0.017,0.0561
16/12/2006,19:05:00,3.404,0.082,233.08,14.6,0,2,16,0.0567,0.0014,0,0.002,0.016,0.0567
16/12/2006,19:06:00,3.382,0.074,233.69,14.4,0,0,17,0.0564,0.0012,0,0,0.017,0.0564
16/12/2006,19:07:00,3.616,0.106,234.44,15.4,0,4,17,0.0603,0.0018,0,0.004,0.017,0.0603
16/12/2006,19:08:00,3.476,0.092,234.6,14.8,0,3,17,0.0579,0.0015,0,0.003,0.017,0.0579
16/12/2006,19:09:00,3.394,0.064,235.12,14.4,0,0,17,0.0566,0.0011,0,0,0.017,0.0566
16/12/2006,19:10:00,3.4,0,234.28,14.4,0,1,17,0.0567,0,0,0.001,0.017,0.0566
16/12/2006,19:11:00,3.414,0,234.19,14.4,0,1,17,0.0569,0,0,0.001,0.017,0.0566
16/12/2006,19:12:00,3.432,0,234.69,14.6,0,1,16,0.0572,0,0,0.001,0.016,0.0566
16/12/2006,19:13:00,3.418,0,234.26,14.6,0,2,17,0.057,0,0,0.002,0.017,0.0566
16/12/2006,19:14:00,3.392,0,233.3,14.4,0,1,17,0.0565,0,0,0.001,0.017,0.0566
16/12/2006,19:15:00,3.394,0,233.43,14.4,0,1,17,0.0566,0,0,0.001,0.017,0.0566
16/12/2006,19:16:00,3.394,0,233.45,14.4,0,1,16,0.0566,0,0,0.001,0.016,0.0566
16/12/2006,19:17:00,3.406,0,233.91,14.4,0,2,17,0.0568,0,0,0.002,0.017,0.0568
16/12/2006,19:18:00,3.42,0,234.43,14.6,0,1,17,0.057,0,0,0.001,0.017,0.057
16/12/2006,19:19:00,3.418,0,234.34,14.4,0,1,17,0.057,0,0,0.001,0.017,0.057
16/12/2006,19:20:00,3.422,0.052,234.58,14.6,0,1,17,0.057,0.0009,0,0.001,0.017,0.057
16/12/2006,19:21:00,3.332,0,234.02,14.2,0,1,16,0.0555,0,0,0.001,0.016,0.0555
16/12/2006,19:22:00,3.316,0.046,234.29,14,0,1,17,0.0553,0.0008,0,0.001,0.017,0.0553
16/12/2006,19:23:00,3.334,0,234.36,14.2,0,2,17,0.0556,0,0,0.002,0.017,0.0556
16/12/2006,19:24:00,3.262,0.052,232.64,14,0,0,17,0.0544,0.0009,0,0,0.017,0.0544
16/12/2006,19:25:00,3.476,0.064,232.96,14.8,0,3,16,0.0579,0.0011,0,0.003,0.016,0.0579
16/12/2006,19:26:00,3.62,0.09,233.47,15.4,0,5,17,0.0603,0.0015,0,0.005,0.017,0.0603
16/12/2006,19:27:00,3.61,0.084,234.98,15.2,0,5,17,0.0602,0.0014,0,0.005,0.017,0.0602
16/12/2006,19:28:00,3.646,0.138,234.34,15.4,0,5,17,0.0608,0.0023,0,0.005,0.017,0.0608
16/12/2006,19:29:00,3.614,0.192,233.92,15.4,0,5,17,0.0602,0.0032,0,0.005,0.017,0.0602
16/12/2006,19:30:00,3.408,0.162,233.94,14.4,0,2,16,0.0568,0.0027,0,0.002,0.016,0.0568
16/12/2006,19:31:00,3.388,0.134,233.72,14.4,0,1,17,0.0565,0.0022,0,0.001,0.017,0.0565
16/12/2006,19:32:00,3.372,0.132,233.2,14.4,0,2,17,0.0562,0.0022,0,0.002,0.017,0.0562
16/12/2006,19:33:00,3.37,0.132,233.1,14.4,0,1,16,0.0562,0.0022,0,0.001,0.016,0.0562
16/12/2006,19:34:00,3.342,0.12,232.29,14.4,0,1,17,0.0557,0.002,0,0.001,0.017,0.0557
16/12/2006,19:35:00,3.284,0,232.45,14,0,2,16,0.0547,0,0,0.002,0.016,0.0547
16/12/2006,19:36:00,3.276,0,231.97,14,0,1,17,0.0546,0,0,0.001,0.017,0.0546
16/12/2006,19:37:00,3.382,0.13,232.42,14.4,0,2,17,0.0564,0.0022,0,0.002,0.017,0.0564
16/12/2006,19:38:00,3.418,0.16,233.38,14.6,0,1,16,0.057,0.0027,0,0.001,0.016,0.057
16/12/2006,19:39:00,3.396,0.158,232.69,14.6,0,1,17,0.0566,0.0026,0,0.001,0.017,0.0566
16/12/2006,19:40:00,3.406,0.158,233.2,14.6,0,2,16,0.0568,0.0026,0,0.002,0.016,0.0568
16/12/2006,19:41:00,3.406,0.158,233.26,14.6,0,1,17,0.0568,0.0026,0,0.001,0.017,0.0568
16/12/2006,19:42:00,3.392,0.156,232.84,14.4,0,1,17,0.0565,0.0026,0,0.001,0.017,0.0565
16/12/2006,19:43:00,3.378,0.154,232.39,14.4,0,2,16,0.0563,0.0026,0,0.002,0.016,0.0563
16/12/2006,19:44:00,3.368,0.154,232.14,14.4,0,1,17,0.0561,0.0026,0,0.001,0.017,0.0561
16/12/2006,19:45:00,3.35,0.152,231.57,14.4,0,1,16,0.0558,0.0025,0,0.001,0.016,0.0558
16/12/2006,19:46:00,3.352,0.152,231.66,14.4,0,2,17,0.0559,0.0025,0,0.002,0.017,0.0559
16/12/2006,19:47:00,3.364,0.154,232.22,14.4,0,1,16,0.0561,0.0026,0,0.001,0.016,0.0561
16/12/2006,19:48:00,3.38,0.156,232.81,14.4,0,1,17,0.0563,0.0026,0,0.001,0.017,0.0563
16/12/2006,19:49:00,3.404,0.16,233.77,14.4,0,1,17,0.0567,0.0027,0,0.001,0.017,0.0567
16/12/2006,19:50:00,3.378,0.156,232.82,14.4,0,2,16,0.0563,0.0026,0,0.002,0.016,0.0563
16/12/2006,19:51:00,3.388,0.158,233.22,14.4,0,1,17,0.0565,0.0026,0,0.001,0.017,0.0565
16/12/2006,19:52:00,3.376,0.156,232.84,14.4,0,1,17,0.0563,0.0026,0,0.001,0.017,0.0563
16/12/2006,19:53:00,3.254,0,232.75,13.8,0,0,16,0.0542,0,0,0,0.016,0.0542
16/12/2006,19:54:00,3.214,0.078,232.64,13.8,0,0,17,0.0536,0.0013,0,0,0.017,0.0536
16/12/2006,19:55:00,3.202,0.078,232.2,13.8,0,0,16,0.0534,0.0013,0,0,0.016,0.0534
16/12/2006,19:56:00,3.202,0.078,232.2,13.8,0,0,17,0.0534,0.0013,0,0,0.017,0.0534
16/12/2006,19:57:00,3.212,0.078,232.58,13.8,0,0,16,0.0535,0.0013,0,0,0.016,0.0535
16/12/2006,19:58:00,3.206,0.078,232.4,13.8,0,0,17,0.0534,0.0013,0,0,0.017,0.0534
16/12/2006,19:59:00,3.214,0.078,232.66,13.8,0,0,17,0.0536,0.0013,0,0,0.017,0.0536
16/12/2006,20:00:00,3.206,0.078,232.43,13.8,0,0,16,0.0534,0.0013,0,0,0.016,0.0534
16/12/2006,20:01:00,3.222,0.078,233.02,13.8,0,0,17,0.0537,0.0013,0,0,0.017,0.0537
16/12/2006,20:02:00,3.216,0.076,232.8,13.8,0,0,16,0.0536,0.0013,0,0,0.016,0.0536
16/12/2006,20:03:00,3.216,0.078,232.79,13.8,0,0,17,0.0536,0.0013,0,0,0.017,0.0536
16/12/2006,20:04:00,3.194,0.078,231.98,13.6,0,0,16,0.0532,0.0013,0,0,0.016,0.0532
16/12/2006,20:05:00,3.278,0,232.88,14,0,0,17,0.0546,0,0,0,0.017,0.0546
16/12/2006,20:06:00,3.282,0,232.52,14,0,0,17,0.0547,0,0,0,0.017,0.0547
16/12/2006,20:07:00,3.292,0,232.87,14,0,0,16,0.0549,0,0,0,0.016,0.0549
16/12/2006,20:08:00,3.316,0,233.78,14,0,0,17,0.0553,0,0,0,0.017,0.0553
16/12/2006,20:09:00,3.37,0.08,233.69,14.4,0,0,17,0.0562,0.0013,0,0,0.017,0.0562
16/12/2006,20:10:00,3.42,0.144,234.04,14.6,0,0,17,0.057,0.0024,0,0,0.017,0.057
16/12/2006,20:11:00,3.41,0.142,233.93,14.6,0,0,16,0.0568,0.0024,0,0,0.016,0.0568
16/12/2006,20:12:00,3.4,0.14,233.62,14.4,0,0,17,0.0567,0.0023,0,0,0.017,0.0567
16/12/2006,20:13:00,3.4,0.14,233.64,14.4,0,0,17,0.0567,0.0023,0,0,0.017,0.0567
16/12/2006,20:14:00,3.388,0.14,233.26,14.4,0,0,16,0.0565,0.0023,0,0,0.016,0.0565
16/12/2006,20:15:00,3.37,0.086,233.9,14.4,0,0,17,0.0562,0.0014,0,0,0.017,0.0562
16/12/2006,20:16:00,3.332,0,233.68,14.2,0,0,17,0.0555,0,0,0,0.017,0.0555
16/12/2006,20:17:00,3.31,0,232.83,14.2,0,0,17,0.0552,0,0,0,0.017,0.0552
16/12/2006,20:18:00,3.312,0,233,14.2,0,0,16,0.0552,0,0,0,0.016,0.0552
16/12/2006,20:19:00,3.314,0,233.08,14.2,0,0,17,0.0552,0,0,0,0.017,0.0552
16/12/2006,20:20:00,3.302,0,232.69,14.2,0,0,16,0.055,0,0,0,0.016,0.055
16/12/2006,20:21:00,3.302,0,232.91,14,0,0,17,0.055,0,0,0,0.017,0.055
16/12/2006,20:22:00,3.3,0,232.87,14,0,0,17,0.055,0,0,0,0.017,0.055
16/12/2006,20:23:00,3.29,0,232.42,14,0,0,16,0.0548,0,0,0,0.016,0.0548
16/12/2006,20:24:00,3.286,0,232.31,14,0,0,17,0.0548,0,0,0,0.017,0.0548
16/12/2006,20:25:00,3.23,0.052,232.79,13.8,0,0,16,0.0538,0.0009,0,0,0.016,0.0538
16/12/2006,20:26:00,3.218,0.078,233.05,13.8,0,0,17,0.0536,0.0013,0,0,0.017,0.0536
16/12/2006,20:27:00,3.258,0.076,234.57,13.8,0,0,17,0.0543,0.0013,0,0,0.017,0.0543
16/12/2006,20:28:00,3.264,0.076,234.79,13.8,0,0,17,0.0544,0.0013,0,0,0.017,0.0544
16/12/2006,20:29:00,3.26,0.076,234.6,13.8,0,0,17,0.0543,0.0013,0,0,0.017,0.0543
16/12/2006,20:30:00,3.262,0.076,234.54,13.8,0,0,17,0.0544,0.0013,0,0,0.017,0.0544
16/12/2006,20:31:00,3.264,0.076,234.6,13.8,0,0,16,0.0544,0.0013,0,0,0.016,0.0544
16/12/2006,20:32:00,3.238,0.076,233.77,13.8,0,0,17,0.054,0.0013,0,0,0.017,0.054
16/12/2006,20:33:00,3.228,0.078,233.5,13.8,0,0,17,0.0538,0.0013,0,0,0.017,0.0538
16/12/2006,20:34:00,3.222,0.078,233.27,13.8,0,0,17,0.0537,0.0013,0,0,0.017,0.0537
16/12/2006,20:35:00,3.226,0.078,233.37,13.8,0,0,16,0.0538,0.0013,0,0,0.016,0.0538
16/12/2006,20:36:00,3.206,0.078,232.64,13.6,0,0,17,0.0534,0.0013,0,0,0.017,0.0534
16/12/2006,20:37:00,3.188,0.08,231.95,13.6,0,0,16,0.0531,0.0013,0,0,0.016,0.0531
16/12/2006,20:38:00,3.196,0.08,232.21,13.6,0,0,17,0.0533,0.0013,0,0,0.017,0.0533
16/12/2006,20:39:00,3.204,0.078,232.5,13.6,0,0,16,0.0534,0.0013,0,0,0.016,0.0534
16/12/2006,20:40:00,3.232,0.078,233.63,13.8,0,0,17,0.0539,0.0013,0,0,0.017,0.0539
16/12/2006,20:41:00,3.254,0.074,234.43,13.8,0,0,17,0.0542,0.0012,0,0,0.017,0.0542
16/12/2006,20:42:00,3.376,0.05,234.63,14.4,0,0,17,0.0563,0.0008,0,0,0.017,0.0563
16/12/2006,20:43:00,3.372,0.048,235.05,14.2,0,0,17,0.0562,0.0008,0,0,0.017,0.0562
16/12/2006,20:44:00,3.366,0.048,234.96,14.2,0,0,17,0.0561,0.0008,0,0,0.017,0.0561
16/12/2006,20:45:00,3.386,0.05,235.77,14.2,0,0,17,0.0564,0.0008,0,0,0.017,0.0564
16/12/2006,20:46:00,3.496,0.146,236.76,14.8,0,0,17,0.0583,0.0024,0,0,0.017,0.0583
16/12/2006,20:47:00,3.426,0.146,234.59,14.6,0,0,17,0.0571,0.0024,0,0,0.017,0.0571
16/12/2006,20:48:00,3.44,0.148,235.13,14.6,0,0,17,0.0573,0.0025,0,0,0.017,0.0573
16/12/2006,20:49:00,3.44,0.146,235.14,14.6,0,0,17,0.0573,0.0024,0,0,0.017,0.0573
16/12/2006,20:50:00,3.454,0.15,235.75,14.6,0,0,17,0.0576,0.0025,0,0,0.017,0.0576
16/12/2006,20:51:00,3.45,0.15,235.69,14.6,0,0,17,0.0575,0.0025,0,0,0.017,0.0575
16/12/2006,20:52:00,3.48,0.154,236.86,14.6,0,0,17,0.058,0.0026,0,0,0.017,0.058
16/12/2006,20:53:00,3.474,0.152,236.72,14.6,0,0,17,0.0579,0.0025,0,0,0.017,0.0579
16/12/2006,20:54:00,3.456,0.15,236.05,14.6,0,0,17,0.0576,0.0025,0,0,0.017,0.0576
16/12/2006,20:55:00,1.832,0.17,237.54,8.4,0,0,17,0.0305,0.0028,0,0,0.017,0.0305
16/12/2006,20:56:00,2.044,0.102,237.44,9.4,0,0,18,0.0341,0.0017,0,0,0.018,0.0341
16/12/2006,20:57:00,3.354,0,237,14,0,0,17,0.0559,0,0,0,0.017,0.0559
16/12/2006,20:58:00,3.282,0.074,235.55,13.8,0,0,17,0.0547,0.0012,0,0,0.017,0.0547
16/12/2006,20:59:00,3.308,0.074,236.51,14,0,0,17,0.0551,0.0012,0,0,0.017,0.0547
16/12/2006,21:00:00,3.314,0.072,236.76,14,0,0,17,0.0552,0.0012,0,0,0.017,0.0547
16/12/2006,21:01:00,3.306,0.072,237.11,13.8,0,0,17,0.0551,0.0012,0,0,0.017,0.0547
16/12/2006,21:02:00,1.692,0.054,238.72,7.8,0,0,18,0.0282,0.0009,0,0,0.018,0.0547
16/12/2006,21:03:00,3.342,0.07,237.66,14,0,0,17,0.0557,0.0012,0,0,0.017,0.0547
16/12/2006,21:04:00,3.354,0.07,238.2,14,0,0,17,0.0559,0.0012,0,0,0.017,0.0547
16/12/2006,21:05:00,3.334,0.072,237.46,14,0,0,18,0.0556,0.0012,0,0,0.018,0.0547
16/12/2006,21:06:00,3.33,0.072,237.36,14,0,0,17,0.0555,0.0012,0,0,0.017,0.0547
16/12/2006,21:07:00,2.74,0.064,238.13,12,0,0,17,0.0457,0.0011,0,0,0.017,0.0547
16/12/2006,21:08:00,2.188,0.06,237.74,10,0,0,18,0.0365,0.001,0,0,0.018,0.0365
16/12/2006,21:09:00,3.33,0.07,237.26,14,0,0,17,0.0555,0.0012,0,0,0.017,0.0555
16/12/2006,21:10:00,3.34,0.07,237.69,14,0,0,17,0.0557,0.0012,0,0,0.017,0.0557
16/12/2006,21:11:00,3.306,0.072,236.44,14,0,0,17,0.0551,0.0012,0,0,0.017,0.0551
16/12/2006,21:12:00,3.044,0.072,236.23,13.2,0,0,17,0.0507,0.0012,0,0,0.017,0.0507
16/12/2006,21:13:00,1.766,0.058,237.7,8.2,0,0,18,0.0294,0.001,0,0,0.018,0.0294
16/12/2006,21:14:00,3.376,0,235.73,14.2,0,0,17,0.0563,0,0,0,0.017,0.0563
16/12/2006,21:15:00,3.414,0.052,236.51,14.4,0,0,17,0.0569,0.0009,0,0,0.017,0.0569
16/12/2006,21:16:00,3.426,0.054,237.11,14.4,0,0,17,0.0571,0.0009,0,0,0.017,0.0571
16/12/2006,21:17:00,3.42,0.054,237.06,14.4,0,0,17,0.057,0.0009,0,0,0.017,0.057
16/12/2006,21:18:00,1.876,0.074,238.63,8.6,0,0,18,0.0313,0.0012,0,0,0.018,0.0313
16/12/2006,21:19:00,3.442,0.056,237.58,14.4,0,0,17,0.0574,0.0009,0,0,0.017,0.0574
16/12/2006,21:20:00,3.414,0.054,236.87,14.4,0,0,17,0.0569,0.0009,0,0,0.017,0.0569
16/12/2006,21:21:00,3.412,0.056,236.94,14.4,0,0,17,0.0569,0.0009,0,0,0.017,0.0569
16/12/2006,21:22:00,2.542,0.068,238.17,11.4,0,0,18,0.0424,0.0011,0,0,0.018,0.0424
16/12/2006,21:23:00,2.82,0.062,237.42,12.4,0,0,17,0.047,0.001,0,0,0.017,0.047
16/12/2006,21:24:00,3.41,0.054,236.91,14.4,0,0,17,0.0568,0.0009,0,0,0.017,0.0568
16/12/2006,21:25:00,3.392,0.052,236.24,14.2,0,0,17,0.0565,0.0009,0,0,0.017,0.0565
